Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Suriname,,94.62094116,,94.67575073,,92.86865997,,,,,,94.38327026,,,95
Slovak Republic,,,,,,,,,,,,,,,
Slovenia,,,,,,,,99.69999695,,,,,,,
Sweden,,,,,,,,,,,,,,,
Eswatini,,,,83.09828949,,,,,,,,88.41938019,,89.27999878,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,
Seychelles,,,,93.95423126,,,,,,,,95.8677063,,96.19999695,
Syrian Arab Republic,,,,,,,,86.30000305,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,
Chad,,,,,,,,,26.00299072,22.31155014,,,,,26.76000023
East Asia & Pacific (IDA & IBRD countries),93.8250885,94.05930328,94.37766266,94.46362305,94.3031311,94.52301788,94.6206665,95.03782654,95.2502594,95.40838623,95.59593964,95.65483093,96.06794739,96.22232819,
Europe & Central Asia (IDA & IBRD countries),97.76051331,97.77100372,98.24823761,98.52033997,98.74178314,98.8575592,98.9017868,98.93090057,98.95776367,99.06574249,99.06919861,99.10180664,99.16972351,99.19200897,
Togo,,,57.09337997,,60.40993881,,,,63.74562073,,,,66.53707886,,
Thailand,,,,96.4309082,,,93.70207214,,92.86830902,,,93.76776123,,,94.09999847
Tajikistan,,,,99.69999695,,,,99.80000305,,,,,,,
Turkmenistan,,,,,,,,99.69999695,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),90.83553314,91.09477997,91.38269043,91.37534332,91.96116638,92.18994141,92.23654175,92.69911194,92.88082123,93.36209869,93.40135193,93.56172943,93.98806763,94.01081085,
Timor-Leste,50.59999847,,,58.30897903,,,,,,,,68.0668335,,69.90000153,
Middle East & North Africa (IDA & IBRD countries),72.7177124,73.32022858,73.04463959,73.87197876,74.10549927,77.13475037,76.75495148,78.92595673,76.22794342,77.42990875,78.6571579,75.54756927,75.92459869,76.30580902,
Tonga,,,,,99.38552856,,,,,,,99.41436768,,,99.40000153
South Asia (IDA & IBRD),61.71054077,63.63489151,64.33466339,66.0164032,66.51304626,67.26596832,68.01159668,68.73356628,69.65641785,70.9983902,71.69451141,71.96769714,72.67485809,73.28027344,
Sub-Saharan Africa (IDA & IBRD countries),57.28401184,57.37395096,58.17715073,58.73373032,60.3055191,61.49142075,62.34981155,63.00296021,63.59801865,64.30605316,64.68676758,66.13889313,67.05906677,67.27390289,
Trinidad and Tobago,,,,98.69999695,,,,,,,,,,,
Tunisia,77.19039917,77.7146225,,79.13057709,79.65390778,80.21875,,79.03643036,,,,,,,82.69999695
Turkiye,88.65589905,,90.81671906,92.66059875,94.10608673,94.9197464,95.25666046,95.4396286,95.60141754,96.16732788,96.15052795,,96.74221039,,
Tuvalu,,,,,,,,,,,,,,,
Tanzania,,,,67.80069733,,78.10059357,,,77.88722992,,,,,,81.80000305
Uganda,,,,73.21188354,,70.1982193,,,,,,76.52749634,,,79
Ukraine,,,,,,99.97434998,,,,,,,,,100
Upper middle income,93.88041687,94.11356354,94.20758057,94.2562027,94.69145966,95.17037201,95.17218018,95.46192932,95.21785736,95.81130981,95.77996826,95.51000214,95.85511017,95.94558716,
Uruguay,97.8638916,98.16355896,98.26722717,98.07270813,98.33589935,98.39594269,98.36386871,98.43592834,98.52387238,98.56147003,98.61572266,98.70385742,98.7703476,,
United States,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,99.99485779,99.98055267,99.98383331,99.98657227,,99.9928894,99.99994659,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,
"Venezuela, RB",95.1546402,,95.51199341,,94.7702179,,,,96.60521698,97.12709045,,,,,97.5
British Virgin Islands,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,
Vietnam,,,93.52044678,,,,,,,,,,95.7538681,,
Vanuatu,,,,,,,,84.69999695,,,,87.50630951,,,89.09999847
World,82.94480896,83.42507935,83.71627045,84.11115265,84.31716156,84.76016998,84.95265961,85.40184784,85.5592804,86.00863647,86.2482605,86.27850342,86.65676117,86.8143692,
Samoa,,,,,98.97325897,,,,,,,99.09577179,,,99.09999847
Kosovo,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,
South Africa,88.71724701,,92.89485931,92.87731934,93.10214233,93.7294693,,94.13990021,94.36791992,,87.04666901,,95.02297211,,
Zambia,61.12709045,,,83.00766754,,,,,,,,86.74796295,,87.5,
Zimbabwe,,,,,83.58271027,,,88.69342041,,,,,,,89.69999695
